iter	Logloss
0	0.6537094608
1	0.6214028466
2	0.5939531402
3	0.5713341477
4	0.552339889
5	0.5348416154
6	0.5194721698
7	0.5061750002
8	0.4946915236
9	0.4843053968
10	0.4753995848
11	0.4672850303
12	0.4609087062
13	0.4549836702
14	0.4495561492
15	0.4435737814
16	0.4389417332
17	0.4352761679
18	0.4313490883
19	0.4281818763
20	0.4252722821
21	0.42256225
22	0.4200959086
23	0.416715986
24	0.4140073535
25	0.4120681877
26	0.4095063989
27	0.4075119293
28	0.4058689958
29	0.4041009997
30	0.4025566532
31	0.400797368
32	0.39937212
33	0.3977078908
34	0.3958383474
35	0.3944480968
36	0.3930502898
37	0.3923020072
38	0.3915677427
39	0.390331285
40	0.389193949
41	0.3879666412
42	0.3864741178
43	0.3857499686
44	0.3847672212
45	0.3840738181
46	0.3830531709
47	0.3821970615
48	0.3805658431
49	0.3796957653
50	0.3791607154
51	0.3783740943
52	0.3778562363
53	0.3768055112
54	0.3758034684
55	0.3749265275
56	0.3741341278
57	0.3734798007
58	0.372622735
59	0.3715710394
60	0.370866896
61	0.3702762173
62	0.3699889032
63	0.3692522178
64	0.3688955562
65	0.3684034986
66	0.3679090671
67	0.3674556994
68	0.367040985
69	0.366167502
70	0.3655150577
71	0.3651580531
72	0.3643924036
73	0.3630955527
74	0.3622026103
75	0.3614333813
76	0.3609865471
77	0.360669035
78	0.3599259645
79	0.3593919402
80	0.3588078532
81	0.3582730792
82	0.3575983001
83	0.3573957207
84	0.356803247
85	0.3558785601
86	0.3551150084
87	0.3542910039
88	0.3537731792
89	0.3529380794
90	0.3525642982
91	0.3521089469
92	0.3515495548
93	0.3508778899
94	0.35054414
95	0.3500655635
96	0.3494372326
97	0.3490792908
98	0.3488029423
99	0.3482280966
