iter	Passed	Remaining
0	66	6630
1	128	6296
2	222	7195
3	308	7397
4	407	7735
5	432	6768
6	489	6501
7	568	6534
8	670	6779
9	719	6479
10	802	6493
11	832	6103
12	930	6226
13	1055	6481
14	1130	6404
15	1227	6445
16	1273	6216
17	1319	6009
18	1426	6079
19	1486	5944
20	1586	5966
21	1616	5731
22	1694	5671
23	1735	5497
24	1818	5455
25	1883	5360
26	1987	5372
27	2106	5416
28	2207	5403
29	2291	5347
30	2432	5413
31	2649	5631
32	2714	5511
33	2770	5378
34	2836	5267
35	2978	5295
36	3047	5188
37	3170	5172
38	3221	5038
39	3274	4912
40	3368	4847
41	3446	4759
42	3481	4615
43	3537	4502
44	3585	4381
45	3633	4264
46	3687	4158
47	3730	4040
48	3800	3956
49	3869	3869
50	3925	3771
51	3987	3680
52	4021	3566
53	4070	3467
54	4111	3364
55	4167	3274
56	4220	3184
57	4256	3082
58	4298	2986
59	4344	2896
60	4388	2805
61	4425	2712
62	4474	2627
63	4539	2553
64	4577	2464
65	4658	2399
66	4704	2317
67	4744	2232
68	4790	2152
69	4828	2069
70	4875	1991
71	4944	1922
72	4999	1849
73	5054	1775
74	5107	1702
75	5156	1628
76	5212	1556
77	5252	1481
78	5298	1408
79	5360	1340
80	5392	1265
81	5446	1195
82	5495	1125
83	5532	1053
84	5564	982
85	5600	911
86	5655	845
87	5692	776
88	5728	707
89	5764	640
90	5798	573
91	5846	508
92	5885	442
93	5913	377
94	5955	313
95	6016	250
96	6053	187
97	6186	126
98	6227	62
99	6265	0
