latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.52066,-56.86238,333.38,0.42,0.45,2018-04-03,1704,N20,VIIRS,n,2,292.04,3.26,D,0
-25.55984,-56.82793,338.86,0.42,0.45,2018-04-03,1704,N20,VIIRS,n,2,295.84,5.9,D,0
-25.52114,-56.86655,331.02,0.42,0.45,2018-04-03,1704,N20,VIIRS,n,2,294.74,2.49,D,0
-25.29528,-56.56145,327.68,0.4,0.44,2018-04-03,1704,N20,VIIRS,n,2,294.07,2.62,D,0
-25.29117,-56.56199,340.21,0.4,0.44,2018-04-03,1704,N20,VIIRS,n,2,296.72,2.62,D,0
-24.83193,-57.28611,328.13,0.44,0.46,2018-04-03,1704,N20,VIIRS,n,2,295.5,2.29,D,0
-25.29203,-56.68059,330.9,0.36,0.57,2018-04-05,1807,N20,VIIRS,n,2,298.42,1.93,D,0
-25.60579,-56.95393,337.71,0.54,0.42,2018-04-06,1748,N20,VIIRS,n,2,306.31,11.47,D,0
-25.60595,-56.95108,346.77,0.54,0.42,2018-04-06,1748,N20,VIIRS,n,2,305.48,10.59,D,0
-25.23603,-56.62424,331.37,0.39,0.36,2018-04-07,1729,N20,VIIRS,l,2,302.8,3.6,D,0
-25.29327,-56.60133,330.28,0.39,0.36,2018-04-07,1729,N20,VIIRS,n,2,302.19,4.34,D,0
-24.91599,-56.61699,331.68,0.39,0.36,2018-04-07,1729,N20,VIIRS,l,2,303.58,2.74,D,0
-25.29267,-56.5975,334.79,0.39,0.36,2018-04-07,1729,N20,VIIRS,n,2,304.03,4.34,D,0
-24.90968,-56.59848,338.69,0.39,0.36,2018-04-07,1729,N20,VIIRS,n,2,308.64,7.62,D,0
-25.20997,-57.02602,331.9,0.38,0.36,2018-04-07,1729,N20,VIIRS,n,2,301.91,2.59,D,0
-24.84086,-56.63471,337.5,0.39,0.36,2018-04-07,1729,N20,VIIRS,n,2,304.1,3.34,D,0
-24.91914,-56.54942,332.34,0.39,0.36,2018-04-07,1729,N20,VIIRS,n,2,303.28,4.81,D,0
-25.19308,-56.56047,331.88,0.5,0.41,2018-04-08,1710,N20,VIIRS,n,2,300.91,3.05,D,0
-25.18474,-57.09402,331.78,0.53,0.42,2018-04-08,1710,N20,VIIRS,n,2,294.62,2.66,D,0
-25.19216,-56.55854,337.43,0.5,0.41,2018-04-08,1710,N20,VIIRS,n,2,301.02,5.22,D,0
-25.5207,-57.18324,312.93,0.53,0.5,2018-04-09,0425,N20,VIIRS,n,2,289.27,1.57,N,0
-25.52183,-57.17793,315.51,0.53,0.5,2018-04-09,0425,N20,VIIRS,n,2,289.41,1.64,N,0
-25.52296,-57.17262,303.58,0.53,0.5,2018-04-09,0425,N20,VIIRS,n,2,290.41,1.64,N,0
-24.89058,-56.6208,331.86,0.46,0.63,2018-04-10,1813,N20,VIIRS,n,2,295.68,6.25,D,0
-24.85713,-56.63483,352.92,0.46,0.63,2018-04-10,1813,N20,VIIRS,n,2,295.68,7.28,D,0
-25.43935,-56.91214,350.32,0.43,0.62,2018-04-10,1813,N20,VIIRS,n,2,295.87,7.67,D,0
-25.44178,-56.91341,331.03,0.42,0.61,2018-04-10,1813,N20,VIIRS,n,2,295.34,4.46,D,0
-25.44076,-56.90914,346.21,0.43,0.62,2018-04-10,1813,N20,VIIRS,n,2,295.41,4.46,D,0
-25.71924,-56.9579,336.11,0.42,0.61,2018-04-10,1813,N20,VIIRS,n,2,295.16,4.76,D,0
-25.44215,-56.91209,316.5,0.56,0.52,2018-04-11,0527,N20,VIIRS,n,2,294.19,2.41,N,0
-24.98463,-56.64219,332.86,0.47,0.48,2018-04-11,1754,N20,VIIRS,n,2,298.87,1.75,D,0
-25.6831,-57.12256,347.43,0.43,0.46,2018-04-11,1754,N20,VIIRS,n,2,299.75,7.08,D,0
-25.68394,-57.12677,339.31,0.42,0.46,2018-04-11,1754,N20,VIIRS,n,2,300.51,7.08,D,0
-25.62743,-57.4379,335.75,0.41,0.45,2018-04-11,1754,N20,VIIRS,n,2,299.98,3.16,D,0
-25.12425,-56.67734,330.05,0.46,0.47,2018-04-11,1754,N20,VIIRS,n,2,299.19,3.11,D,0
-25.31438,-57.44763,309.61,0.44,0.38,2018-04-12,0508,N20,VIIRS,n,2,293.97,1,N,0
-25.2261,-56.5317,330.93,0.42,0.37,2018-04-12,1735,N20,VIIRS,n,2,299.52,2.19,D,0
-25.37778,-56.97916,331.05,0.4,0.37,2018-04-12,1735,N20,VIIRS,n,2,301.13,2.11,D,0
-25.19676,-56.92399,332.71,0.41,0.37,2018-04-12,1735,N20,VIIRS,n,2,300.69,3.23,D,0
-25.19865,-57.10513,345.78,0.4,0.37,2018-04-12,1735,N20,VIIRS,n,2,300.22,3.98,D,0
-25.19527,-57.10579,345.09,0.4,0.37,2018-04-12,1735,N20,VIIRS,n,2,302.38,3.98,D,0
-25.46381,-56.65014,333.3,0.41,0.37,2018-04-12,1735,N20,VIIRS,n,2,301.25,2.62,D,0
-25.54737,-57.17659,339.51,0.4,0.37,2018-04-12,1735,N20,VIIRS,n,2,303.21,3.98,D,0
-25.42046,-56.64114,336.62,0.41,0.37,2018-04-12,1735,N20,VIIRS,n,2,300.12,2.88,D,0
-25.64992,-56.77679,347.13,0.41,0.37,2018-04-12,1735,N20,VIIRS,n,2,302.27,11.73,D,0
-25.69987,-56.67538,348.25,0.41,0.37,2018-04-12,1735,N20,VIIRS,n,2,301.14,4.96,D,0
-25.69358,-56.78543,345.8,0.41,0.37,2018-04-12,1735,N20,VIIRS,n,2,301.27,9.5,D,0
-25.69018,-56.78611,343.9,0.41,0.37,2018-04-12,1735,N20,VIIRS,n,2,301.67,6.88,D,0
-25.68023,-56.83323,333.77,0.4,0.37,2018-04-12,1735,N20,VIIRS,n,2,301.49,2.92,D,0
-25.13316,-57.00657,335.62,0.4,0.37,2018-04-12,1736,N20,VIIRS,n,2,304.68,2.83,D,0
-25.19475,-57.10566,332.24,0.4,0.37,2018-04-12,1736,N20,VIIRS,n,2,301.55,2.36,D,0
-25.0142,-56.98798,330.14,0.41,0.37,2018-04-12,1736,N20,VIIRS,l,2,300.63,10.7,D,0
-25.0176,-56.98731,346.26,0.41,0.37,2018-04-12,1736,N20,VIIRS,n,2,302.83,10.7,D,0
-25.01486,-56.99199,347.59,0.4,0.37,2018-04-12,1736,N20,VIIRS,n,2,302.55,10.7,D,0
-25.01552,-56.99599,339.99,0.4,0.37,2018-04-12,1736,N20,VIIRS,n,2,303.84,19.19,D,0
-25.01147,-56.99266,340.45,0.4,0.37,2018-04-12,1736,N20,VIIRS,n,2,301.99,6.28,D,0
-25.01212,-56.99666,335.58,0.4,0.37,2018-04-12,1736,N20,VIIRS,n,2,301.71,3.63,D,0
-24.86421,-56.56836,332.06,0.42,0.37,2018-04-12,1736,N20,VIIRS,n,2,298.84,2.11,D,0
-25.19096,-57.10337,310.51,0.4,0.37,2018-04-13,0450,N20,VIIRS,n,2,289.98,0.89,N,0
-25.68746,-56.78122,303.25,0.39,0.36,2018-04-13,0450,N20,VIIRS,n,2,284.79,0.92,N,0
-25.69081,-56.78189,326.98,0.39,0.36,2018-04-13,0450,N20,VIIRS,n,2,285.31,4.35,N,0
-25.69145,-56.77799,335.64,0.39,0.36,2018-04-13,0450,N20,VIIRS,n,2,287.31,4.35,N,0
-25.28514,-56.95738,345.46,0.44,0.38,2018-04-13,1717,N20,VIIRS,n,2,301.77,6.73,D,0
-24.93081,-57.19512,348.16,0.45,0.39,2018-04-13,1717,N20,VIIRS,n,2,301.27,7.45,D,0
-24.93205,-57.1931,331.5,0.45,0.39,2018-04-13,1717,N20,VIIRS,n,2,299.53,2.98,D,0
-24.93264,-57.19754,336.99,0.45,0.39,2018-04-13,1717,N20,VIIRS,n,2,299.94,4.2,D,0
-24.91952,-57.20868,342.4,0.45,0.39,2018-04-13,1717,N20,VIIRS,n,2,300.69,5.93,D,0
