system:index,datetime,temp_C,.geo
20180101T00,2018-01-01 00:00,28.203777481585863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T01,2018-01-01 01:00,27.418939195471065,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T02,2018-01-01 02:00,26.766221962115875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T03,2018-01-01 03:00,26.328902894192517,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T04,2018-01-01 04:00,26.060583460058247,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T05,2018-01-01 05:00,25.78729351648987,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T06,2018-01-01 06:00,25.34308327312401,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T07,2018-01-01 07:00,25.72588368095597,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T08,2018-01-01 08:00,25.07199751399981,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T09,2018-01-01 09:00,24.544525673503813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T10,2018-01-01 10:00,24.529977279606804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T11,2018-01-01 11:00,25.473572421478632,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T12,2018-01-01 12:00,26.735922040763384,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T13,2018-01-01 13:00,28.24472165266086,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T14,2018-01-01 14:00,29.310500729268767,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T15,2018-01-01 15:00,29.673209365901045,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T16,2018-01-01 16:00,30.128126436916236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T17,2018-01-01 17:00,28.81782721149966,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T18,2018-01-01 18:00,29.135302306453244,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T19,2018-01-01 19:00,25.60824208164569,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T20,2018-01-01 20:00,24.95562600899447,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T21,2018-01-01 21:00,24.55741625571165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T22,2018-01-01 22:00,24.364985110575006,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101T23,2018-01-01 23:00,24.198277128437805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T00,2018-01-02 00:00,23.968446909774286,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T01,2018-01-02 01:00,23.939802408253595,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T02,2018-01-02 02:00,23.847819450350276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T03,2018-01-02 03:00,23.822690961211393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T04,2018-01-02 04:00,23.73402377308076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T05,2018-01-02 05:00,23.609222076528646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T06,2018-01-02 06:00,23.382123250926128,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T07,2018-01-02 07:00,22.92322430262268,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T08,2018-01-02 08:00,22.500474344513968,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T09,2018-01-02 09:00,22.17155301590249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T10,2018-01-02 10:00,22.076636116056005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T11,2018-01-02 11:00,22.31537005998114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T12,2018-01-02 12:00,22.835246888333163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T13,2018-01-02 13:00,22.927850096304933,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T14,2018-01-02 14:00,22.92241607553406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T15,2018-01-02 15:00,22.926907218004093,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T16,2018-01-02 16:00,23.495245440155827,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T17,2018-01-02 17:00,24.3806184888326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T18,2018-01-02 18:00,25.56186845955374,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T19,2018-01-02 19:00,26.38173810332465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T20,2018-01-02 20:00,26.535134928235276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T21,2018-01-02 21:00,26.40997692150385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T22,2018-01-02 22:00,25.77296125911699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102T23,2018-01-02 23:00,24.520464684743295,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T00,2018-01-03 00:00,23.618278704991653,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T01,2018-01-03 01:00,22.91171105416501,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T02,2018-01-03 02:00,22.233962821256657,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T03,2018-01-03 03:00,21.5678901790605,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T04,2018-01-03 04:00,20.939724132354872,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T05,2018-01-03 05:00,20.32956110542553,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T06,2018-01-03 06:00,19.787084589321253,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T07,2018-01-03 07:00,19.774228342204097,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T08,2018-01-03 08:00,19.40734557204583,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T09,2018-01-03 09:00,18.97657999749556,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T10,2018-01-03 10:00,19.747969198191754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T11,2018-01-03 11:00,23.203205742079405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T12,2018-01-03 12:00,25.248302796986735,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T13,2018-01-03 13:00,26.905254843173445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T14,2018-01-03 14:00,28.06962707519532,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T15,2018-01-03 15:00,28.68705255374699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T16,2018-01-03 16:00,29.132035995427092,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T17,2018-01-03 17:00,29.5783297357876,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T18,2018-01-03 18:00,29.817016423637142,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T19,2018-01-03 19:00,30.099177984821853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T20,2018-01-03 20:00,29.999626899522184,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T21,2018-01-03 21:00,29.54455549965046,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T22,2018-01-03 22:00,28.338384383648535,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103T23,2018-01-03 23:00,26.420369476656195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T00,2018-01-04 00:00,24.65327177716359,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T01,2018-01-04 01:00,23.481764213308644,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T02,2018-01-04 02:00,22.547552719960816,"{""type"":""MultiPoint"",""coordinates"":[]}"
