fire_id,area_ha,num_detections,duration_days,start_date,end_date,avg_frp
4663,4291.31,107,2,2023-07-23,2023-07-24,13.66
3244,3494.38,66,2,2021-07-24,2021-07-25,17.7
557,3456.23,33,5,2018-08-27,2018-08-31,4.58
3798,2852.13,39,5,2022-01-22,2022-01-26,12.18
3906,2567.2,74,10,2022-02-10,2022-02-19,8.5
2591,2262.66,69,8,2020-08-24,2020-08-31,24.1
2123,2135.39,90,14,2020-04-12,2020-04-25,15.23
2732,2006.6,28,6,2020-09-22,2020-09-27,14.52
590,1890.94,37,2,2018-08-29,2018-08-30,16.19
4618,1845.51,42,5,2023-06-30,2023-07-04,8.67
4963,1784.79,47,3,2023-10-01,2023-10-03,10.8
2093,1559.48,60,7,2020-04-07,2020-04-13,11.23
3384,1478.97,35,3,2021-08-18,2021-08-20,6.18
2017,1440.95,31,5,2020-03-23,2020-03-27,7.86
4809,1432.82,32,2,2023-08-23,2023-08-24,7.2
2948,1413.86,75,5,2020-11-03,2020-11-07,13.25
4999,1385.88,54,11,2023-10-09,2023-10-19,8.35
2187,1340.13,53,7,2020-04-21,2020-04-27,11.13
1971,1303.09,35,4,2020-03-14,2020-03-17,11.45
4742,1185.68,31,3,2023-08-15,2023-08-17,18.36
2061,1092.37,66,3,2020-04-03,2020-04-05,30.05
3758,1056.45,46,4,2022-01-16,2022-01-19,10.92
552,1049.25,20,4,2018-08-27,2018-08-30,10.53
580,1041.98,28,3,2018-08-28,2018-08-30,23.74
3745,1019.05,34,10,2022-01-14,2022-01-23,8.85
568,1016.63,21,5,2018-08-27,2018-08-31,5.77
2945,980.59,72,6,2020-11-03,2020-11-08,13.36
1530,966.66,36,2,2019-10-01,2019-10-02,6.02
3390,955.3,34,3,2021-08-18,2021-08-20,7.39
2925,944.29,32,9,2020-10-30,2020-11-07,14.34
3753,940.41,33,4,2022-01-16,2022-01-19,13.83
2294,923.84,35,4,2020-05-01,2020-05-04,40.98
2209,917.62,45,6,2020-04-23,2020-04-28,8.77
3946,913.59,29,3,2022-02-18,2022-02-20,16.74
1412,885.61,21,1,2019-09-09,2019-09-09,8.29
2756,870.23,45,4,2020-09-24,2020-09-27,23.45
235,833.12,39,3,2018-07-16,2018-07-18,18.67
4668,804.1,24,1,2023-07-23,2023-07-23,6.29
3966,796.14,19,6,2022-02-23,2022-02-28,7.67
553,787.5,16,4,2018-08-27,2018-08-30,5.58
3793,771.47,15,6,2022-01-21,2022-01-26,6.17
2603,717.17,23,4,2020-08-26,2020-08-29,9.49
1387,707.99,22,2,2019-09-03,2019-09-04,16.79
3754,704.63,25,4,2022-01-16,2022-01-19,7.83
2204,700.44,30,5,2020-04-23,2020-04-27,11.09
4782,680.58,19,2,2023-08-17,2023-08-18,16.63
2554,676.18,26,1,2020-08-10,2020-08-10,16.45
1277,670.74,33,2,2019-08-19,2019-08-20,31.48
1978,670.12,25,3,2020-03-16,2020-03-18,9.83
1914,659.88,22,2,2020-03-10,2020-03-11,6.15
3319,653.2,22,2,2021-08-08,2021-08-09,17.73
2947,645.4,36,5,2020-11-03,2020-11-07,7.32
4325,643.43,29,3,2022-12-30,2023-01-01,7.01
1907,635.86,19,3,2020-03-09,2020-03-11,5.19
3918,615.21,34,6,2022-02-13,2022-02-18,17.74
4012,606.94,35,3,2022-03-08,2022-03-10,8.72
2610,605.16,25,4,2020-08-26,2020-08-29,9.19
560,595.12,20,4,2018-08-27,2018-08-30,9.82
3942,576.43,17,3,2022-02-17,2022-02-19,34.34
1867,546.89,17,4,2020-03-04,2020-03-07,5.98
2838,544.18,27,8,2020-10-05,2020-10-12,7.56
3547,539.35,29,2,2021-09-26,2021-09-27,6.27
5017,531.9,17,3,2023-10-14,2023-10-16,9.15
2698,506.77,19,5,2020-09-19,2020-09-23,5.8
3852,498.83,18,4,2022-01-31,2022-02-03,11.26
1585,488.25,15,2,2019-10-26,2019-10-27,8.67
2802,478.41,30,3,2020-09-29,2020-10-01,10.7
601,460.36,15,1,2018-08-29,2018-08-29,14.35
2951,454.99,25,5,2020-11-04,2020-11-08,18.78
2501,454.62,24,10,2020-08-02,2020-08-11,9.4
1721,453.27,24,5,2019-11-28,2019-12-02,9.05
2729,436.11,34,10,2020-09-22,2020-10-01,9.66
3387,435.44,22,2,2021-08-18,2021-08-19,10.1
1357,432.2,20,4,2019-08-29,2019-09-01,3.51
3391,429.32,24,4,2021-08-18,2021-08-21,13.11
3855,409.72,22,3,2022-02-01,2022-02-03,14.03
2730,404.18,26,6,2020-09-22,2020-09-27,21.48
567,402.05,17,4,2018-08-27,2018-08-30,15.01
1305,399.94,19,3,2019-08-21,2019-08-23,7.57
3389,394.28,19,2,2021-08-18,2021-08-19,14.23
218,389.12,16,4,2018-07-14,2018-07-17,7.2
1909,381.2,19,4,2020-03-09,2020-03-12,10.26
5023,376.7,20,2,2023-10-16,2023-10-17,13.5
4899,375.27,19,2,2023-09-17,2023-09-18,13.54
2858,367.87,30,6,2020-10-08,2020-10-13,15.83
1344,352.29,18,1,2019-08-24,2019-08-24,15.75
3400,351.58,30,2,2021-08-19,2021-08-20,7.84
1816,348.72,20,2,2020-02-27,2020-02-28,10.74
4941,337.45,26,2,2023-09-25,2023-09-26,9.5
3796,326.08,20,3,2022-01-21,2022-01-23,14.88
1206,318.63,19,3,2019-08-11,2019-08-13,8.99
3397,311.09,15,3,2021-08-18,2021-08-20,12.36
4750,301.07,15,2,2023-08-16,2023-08-17,7.45
4807,273.78,19,1,2023-08-23,2023-08-23,15.5
2096,268.22,29,5,2020-04-08,2020-04-12,7.09
2064,262.94,27,5,2020-04-03,2020-04-07,9.4
4928,236.37,15,1,2023-09-23,2023-09-23,5.99
2748,218.22,15,2,2020-09-24,2020-09-25,13.55
3417,214.84,15,1,2021-08-20,2021-08-20,8.3
2873,207.06,18,2,2020-10-11,2020-10-12,6.3
1905,200.25,22,1,2020-03-08,2020-03-08,8.89
2206,196.99,16,2,2020-04-23,2020-04-24,7.38
311,186.53,16,1,2018-07-31,2018-07-31,16.52
228,141.12,18,1,2018-07-15,2018-07-15,17.09
3908,114.04,35,7,2022-02-10,2022-02-16,6.59
